epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1709.95,1.04828,0.57657,0.00303,0.69481,0.65875,0.69836,0.4678,1.23478,0.87035,0.00663,0.000587551,0.000587551,0.000587551
69,1742.29,1.02183,0.55899,0.00295,0.6498,0.74003,0.72966,0.48695,1.2511,0.86365,0.00672,0.000577311,0.000577311,0.000577311
70,1774.5,1.01486,0.55617,0.0029,0.80014,0.63194,0.73593,0.48156,1.23873,0.86111,0.00664,0.00056704,0.00056704,0.00056704
71,1805.76,1.01178,0.54649,0.00294,0.74898,0.61874,0.70842,0.46692,1.24736,0.88651,0.00672,0.000556742,0.000556742,0.000556742
72,1838.9,1.01546,0.55039,0.00291,0.71873,0.67736,0.71984,0.47789,1.25131,0.89757,0.00671,0.000546421,0.000546421,0.000546421
73,1871.04,1.00101,0.52657,0.0029,0.6863,0.68708,0.71599,0.47292,1.24752,0.97055,0.00667,0.000536081,0.000536081,0.000536081
74,1903.67,1.01722,0.55024,0.00291,0.66171,0.73045,0.71015,0.46666,1.22942,0.91677,0.00657,0.000525728,0.000525728,0.000525728
75,1936.83,0.99447,0.53517,0.00285,0.64912,0.74415,0.6948,0.46153,1.22744,0.92693,0.00657,0.000515366,0.000515366,0.000515366
76,1969.04,1.00833,0.53158,0.00289,0.66363,0.73749,0.71204,0.46597,1.25941,0.93369,0.00674,0.000505,0.000505,0.000505
77,2000.58,0.9956,0.5314,0.00286,0.71439,0.67266,0.69176,0.45485,1.26058,0.90705,0.00675,0.000494634,0.000494634,0.000494634
78,2033.57,0.98735,0.52296,0.00286,0.63478,0.75879,0.70395,0.4655,1.24815,0.93892,0.00671,0.000484272,0.000484272,0.000484272
79,2065.77,0.99333,0.51604,0.0028,0.65281,0.75887,0.7204,0.47001,1.25791,0.92094,0.00664,0.000473919,0.000473919,0.000473919
80,2098.36,0.99289,0.52491,0.00278,0.66334,0.71125,0.71109,0.47354,1.24455,0.90368,0.00666,0.000463579,0.000463579,0.000463579
81,2130.98,0.9655,0.50409,0.00279,0.68209,0.71,0.69949,0.46892,1.25216,0.90143,0.00667,0.000453258,0.000453258,0.000453258
82,2159.5,0.97846,0.5164,0.00276,0.66785,0.72516,0.71413,0.4673,1.2748,0.95393,0.00687,0.00044296,0.00044296,0.00044296
83,2194.21,0.96115,0.50254,0.00278,0.61244,0.72591,0.70165,0.46182,1.26421,0.94634,0.00671,0.000432689,0.000432689,0.000432689
84,2226.48,0.98146,0.50352,0.00275,0.65042,0.73343,0.70618,0.46168,1.26859,0.93306,0.00677,0.000422449,0.000422449,0.000422449
85,2259.59,0.95496,0.50884,0.00268,0.65989,0.7283,0.69476,0.46657,1.25459,0.90657,0.00671,0.000412246,0.000412246,0.000412246
86,2291.44,0.9569,0.49548,0.00272,0.67472,0.69233,0.7107,0.47263,1.25321,0.94954,0.00668,0.000402084,0.000402084,0.000402084
87,2324.98,0.95461,0.48277,0.00276,0.68345,0.69062,0.70947,0.46931,1.26173,0.96813,0.00676,0.000391966,0.000391966,0.000391966
88,2360,0.94801,0.48023,0.00267,0.6663,0.71921,0.70265,0.47066,1.25997,0.89917,0.00676,0.000381899,0.000381899,0.000381899
89,2393.38,0.94825,0.48831,0.00265,0.68563,0.70701,0.7092,0.46434,1.27888,0.97058,0.00686,0.000371885,0.000371885,0.000371885
90,2425.39,0.94572,0.48808,0.00265,0.77038,0.66933,0.71751,0.47024,1.27258,0.93861,0.00683,0.000361929,0.000361929,0.000361929
91,2458.32,0.94877,0.48386,0.00265,0.68859,0.67282,0.71581,0.47461,1.26205,0.97965,0.00679,0.000352037,0.000352037,0.000352037
92,2491.89,0.94395,0.47514,0.00262,0.65126,0.69497,0.7028,0.46524,1.27147,0.97686,0.00683,0.000342211,0.000342211,0.000342211
93,2523.69,0.93427,0.47415,0.00268,0.6903,0.67778,0.7015,0.46464,1.27141,0.94509,0.00683,0.000332457,0.000332457,0.000332457
94,2555.27,0.9294,0.47562,0.00264,0.73166,0.66815,0.71253,0.4794,1.26087,0.9462,0.00677,0.000322778,0.000322778,0.000322778
95,2587.64,0.92803,0.46305,0.00264,0.63784,0.71856,0.7139,0.47679,1.26143,0.98055,0.00677,0.00031318,0.00031318,0.00031318
96,2620.34,0.94037,0.47087,0.00265,0.63428,0.72375,0.71638,0.4749,1.26197,0.94124,0.00673,0.000303665,0.000303665,0.000303665
97,2653.83,0.91695,0.45506,0.00255,0.72739,0.67872,0.71925,0.47905,1.2578,0.97034,0.00674,0.000294239,0.000294239,0.000294239
98,2686.3,0.92274,0.46453,0.00263,0.66237,0.73512,0.72129,0.47546,1.26809,0.95701,0.00682,0.000284906,0.000284906,0.000284906
99,2718.75,0.91182,0.46647,0.00258,0.67027,0.72396,0.7296,0.47682,1.2577,0.98784,0.00671,0.000275668,0.000275668,0.000275668
